Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
Administração Regional de Samambaia;9114;203606;Material;17;Material de Informática;Outros;Material;30.17.00.002;Peças e acessórios para computadores e periféricos;;;3.3.90.30.17.00.002.30416;MEMÓRIA RAM, Descrição: para desktop, capacidade de 8GB, módulo/chip pc3-10600 / ddr3-1333, formato DIMM, latência CL9 (9-9-9), 1,5v, estrutura de 8 chips 512m x 8 FBGA.;un;10,0000;55,0000;550,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203607;Material;17;Material de Informática;Outros;Material;30.17.00.002;Peças e acessórios para computadores e periféricos;;;3.3.90.30.17.00.002.30417;MOUSE PAD, Descrição: com apoio ergonômico em gel nas cores pretas, azul ou cinza com dimensões mínimas de 27c x 18,5l centímetros, com superfície em tecido que facilita o deslizamento do mouse, material de borracha e gel no apoio do pulso.;un;50,0000;21,0000;1050,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203608;Material;35;Equipamentos de Microinformática;Outros;Material;52.35.00.001;Equipamentos de informática de uso pessoal;;;4.4.90.52.35.00.001.30423;WEBCAM, Descrição: encaixe ajustável, conexão tipo plug-and-play, cor preta, prata ou branca, resolução HD de 1080p, campo de visão mínimo de 75 graus, com 2 microfones omnidirecional com redução de ruídos, correção automática de iluminação, acompanhada de todos os cabos e acessórios necessários para seu funcionamento, não serão aceitos corpo dos equipamentos marca/rótulos (com marcas ou descrições) provisórios como, por exemplo, sob forma de etiquetas.;un;5,0000;80,0000;400,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203609;Material;15;Material para Eventos em Geral;Outros;Material;30.15.00.001;Artigos para decoração e buffet;;;3.3.90.30.15.00.001.30524;ARRANJO, Descrição: tipo jardineira, com caimento, medindo no mínimo 1,20 m de comprimento, contendo flores nobres de 1ª qualidade, tipo: callas, narciso, jacinto, calandivia, hortência, jasmin, rosa, copo de leite, lírio, gérbera, lisianto, íris, tulipa, girassol, estrelícia, antúrio vermelho e verde, astromélia, boca de leão, gipsofila, gladíolo (palma), cravo e orquídea. Os arranjos deverão ser feitos em bases.;un;5,0000;70,0000;350,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203610;Material;42;Mobiliário em Geral;Outros;Material;52.42.00.013;Móveis em geral;;;4.4.90.52.42.00.013.30553;MESA DE REUNIÃO, Descrição: formato retangular, com laterais arredondadas, capacidade de 8 lugares, em MDF, pés em aço inoxidável, medindo 750x1200x2400mm, Características Adicionais: demais especificações conforme Termo de Referência.;un;3,0000;1000,0000;3000,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203611;Material;42;Mobiliário em Geral;Outros;Material;52.42.00.013;Móveis em geral;;;4.4.90.52.42.00.013.30554;MESA DE REUNIÃO, Descrição: formato circular, capacidade para 4 lugares, em MDF, pés em aço inoxidável, medindo 750x1200mm, Características Adicionais: demais especificações conforme Termo de Referência.;un;3,0000;600,0000;1800,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203612;Material;42;Mobiliário em Geral;Outros;Material;52.42.00.013;Móveis em geral;;;4.4.90.52.42.00.013.30555;MESA, Descrição: formato em L, sem gaveta dupla acoplada, em MDF, pés em aço inoxidável, medindo 750x1600x600mm, Características Adicionais: demais especificações conforme Termo de Referência.;un;5,0000;900,0000;4500,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203613;Material;42;Mobiliário em Geral;Outros;Material;52.42.00.013;Móveis em geral;;;4.4.90.52.42.00.013.30556;MESA RETA, Descrição: em MDF, pés em aço inoxidável, medindo 750x600x1400mm, Características Adicionais: demais especificações conforme Termo de Referência.;un;6,0000;500,0000;3000,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203614;Material;42;Mobiliário em Geral;Outros;Material;52.42.00.013;Móveis em geral;;;4.4.90.52.42.00.013.30557;MESA, Descrição: tipo diretor, formato em L, em MDF, pés quadrados vazados, armário pedestal lateral com 1 porta, 3 gavetas e 2 prateleiras, mesa medindo 750x1600x600mm, armário medindo 700x1600x600mm, Características Adicionais: demais especificações conforme Termo de Referência.;un;3,0000;1300,0000;3900,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203615;Material;42;Mobiliário em Geral;Outros;Material;52.42.00.013;Móveis em geral;;;4.4.90.52.42.00.013.30558;MESA, Descrição: tipo presidente, formato em L, em MDF, tampo em amadeirado, armário pedestal lateral com 4 portas e 3 gavetas, aparador com 2 portas e 2 prateleiras, mesa medindo 750x2400x900mm, armário medindo 700x2400x600mm, aparador medindo 750x1800x500mm, Características Adicionais: demais especificações conforme Termo de Referência.;un;3,0000;1400,0000;4200,0000;0,0000;02/09/2026
